id,name,enabled,method,url,headers,params,body,expected_status,expected_content,json_path,expected_json_value,extract_key,save_var_name,validate,priority
positive_post__api_address_add_1,添加地址-基本正常场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiMTIzNDU2IiwidXNlcm5hbWUiOiJ0ZXN0dXNlciIsImV4cCI6MTY4MDAwMDAwMH0.abc123def456""}","{""city"": ""杭州市"", ""detail"": ""文三路100号"", ""district"": ""西湖区"", ""is_default"": 0, ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""浙江省""}",201,成功,code,201,,,,
positive_post__api_address_add_2,添加地址-完整参数场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiMTIzNDU2IiwidXNlcm5hbWUiOiJ0ZXN0dXNlciIsImV4cCI6MTY4MDAwMDAwMH0.abc123def456""}","{""city"": ""上海市"", ""detail"": ""南京东路789号"", ""district"": ""黄浦区"", ""is_default"": 1, ""name"": ""李四"", ""phone"": ""13912345678"", ""province"": ""上海市""}",201,成功,code,201,,,,
positive_post__api_address_add_3,添加地址-最小参数场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiMTIzNDU2IiwidXNlcm5hbWUiOiJ0ZXN0dXNlciIsImV4cCI6MTY4MDAwMDAwMH0.abc123def456""}","{""city"": ""广州市"", ""detail"": ""天河路123号"", ""district"": ""天河区"", ""name"": ""王五"", ""phone"": ""13700001111"", ""province"": ""广东省""}",201,成功,code,201,,,,
negative_post__api_address_add_1,添加地址-缺少必填参数city,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_example""}",{},"{""detail"": ""某某街道100号"", ""district"": ""某区"", ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""某省""}",400,缺少必要参数,message,缺少必要参数,,,,
negative_post__api_address_add_2,添加地址-参数类型错误is_default传字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_example""}",{},"{""city"": ""某市"", ""detail"": ""某某街道100号"", ""district"": ""某区"", ""is_default"": ""yes"", ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""某省""}",400,类型错误,message,参数类型错误,,,,
negative_post__api_address_add_3,添加地址-参数值无效phone为空字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_example""}",{},"{""city"": ""某市"", ""detail"": ""某某街道100号"", ""district"": ""某区"", ""name"": ""张三"", ""phone"": """", ""province"": ""某省""}",400,无效,message,联系电话不能为空,,,,
negative_post__api_address_add_4,添加地址-无效HTTP方法GET,1,GET,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_example""}",{},{},405,方法不允许,message,请求方法不支持,,,,
negative_post__api_address_add_5,添加地址-错误的Content-Type,1,POST,/api/address/add,"{""Content-Type"": ""text/plain"", ""Authorization"": ""Bearer valid_token_example""}",{},{},415,不支持的媒体类型,message,Content-Type不支持,,,,
boundary_post__api_address_add_1,添加地址-综合边界值测试,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token""}",{},"{""city"":""' OR '1'='1"",""detail"":"""",""district"":""<script>alert(1)</script>"",""is_default"":-1,""name"":""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"",""phone"":""１２３-４５６-７８９０"",""province"":""A""}",400,缺少必要参数,message,缺少必要参数,,,,
positive_post__api_address_delete_1,删除地址-基本正常场景,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiJ9.validUserToken""}","{""address_id"": 101}",200,删除成功,code,200,,,,
positive_post__api_address_delete_2,删除地址-完整参数场景,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiJ9.validUserToken""}","{""address_id"": 202}",200,删除成功,code,200,,,,
positive_post__api_address_delete_3,删除地址-最小参数场景,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiJ9.validUserToken""}","{""address_id"": 303}",200,删除成功,code,200,,,,
negative_post__api_address_delete_1,删除地址-缺少必填参数address_id,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_123""}",{},{},400,缺少地址ID,,,,,,
negative_post__api_address_delete_2,删除地址-参数类型错误address_id为字符串,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_123""}",{},"{""address_id"": ""abc""}",400,无效,,,,,,
negative_post__api_address_delete_3,删除地址-参数值无效address_id为负数,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_123""}",{},"{""address_id"": -1}",400,无效,,,,,,
negative_post__api_address_delete_4,删除地址-参数值无效address_id为0,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_123""}",{},"{""address_id"": 0}",400,无效,,,,,,
negative_post__api_address_delete_5,删除地址-参数值无效address_id超长数字,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_123""}",{},"{""address_id"": 99999999999999999999}",400,无效,,,,,,
negative_post__api_address_delete_6,删除地址-无效HTTP方法GET,1,GET,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer valid_token_123""}",{},{},405,方法不允许,,,,,,
negative_post__api_address_delete_7,删除地址-错误的Content-Type,1,POST,/api/address/delete,"{""Content-Type"": ""text/plain"", ""Authorization"": ""Bearer valid_token_123""}",{},{},415,不支持的媒体类型,,,,,,
negative_post__api_address_delete_8,删除地址-权限不足缺少Authorization头,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}",{},"{""address_id"": 1}",403,未授权,,,,,,
negative_post__api_address_delete_9,删除地址-权限不足无效token,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer invalid_token_789""}",{},"{""address_id"": 1}",403,无效,,,,,,
boundary_post__api_address_delete_1,边界测试-数值边界-address_id为零值,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_123""}",{},"{""address_id"": 0}",400,地址ID,error,invalid_address_id,,,,
path_post__api_address_delete_1,正常删除地址-成功,1,POST,/api/address/delete,"{""Content-Type"":""application/json""}","{""Authorization"":""Bearer valid_token_example""}","{""address_id"":1}",200,成功,message,删除成功,,,,
path_post__api_address_delete_2,缺少address_id-400,1,POST,/api/address/delete,"{""Content-Type"":""application/json""}","{""Authorization"":""Bearer valid_token_example""}",{},400,缺少地址ID,,,,,,
path_post__api_address_delete_3,address_id不存在或无权限-404,1,POST,/api/address/delete,"{""Content-Type"":""application/json""}","{""Authorization"":""Bearer valid_token_example""}","{""address_id"":9999}",404,地址不存在或无权限删除,,,,,,
path_post__api_address_delete_4,路径大小写变化-404,1,POST,/api/address/Delete,"{""Content-Type"":""application/json""}","{""Authorization"":""Bearer valid_token_example""}","{""address_id"":1}",404,Not Found,,,,,,
path_post__api_address_delete_5,路径包含特殊字符-空格编码,1,POST,/api/address/delete%20,"{""Content-Type"":""application/json""}","{""Authorization"":""Bearer valid_token_example""}","{""address_id"":1}",404,Not Found,,,,,,
path_post__api_address_delete_6,查询参数缺少Authorization-401,1,POST,/api/address/delete,"{""Content-Type"":""application/json""}",{},"{""address_id"":1}",401,Unauthorized,,,,,,
