id,name,enabled,method,url,headers,params,body,expected_status,expected_content,json_path,expected_json_value,extract_key,save_var_name,validate,priority
positive_post__api_address_add_1,添加地址-基本正常场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"": ""北京市"", ""detail"": ""朝阳区三里屯SOHO 1号楼101"", ""district"": ""朝阳区"", ""is_default"": 1, ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""北京市""}",201,添加成功,code,201,,,,
positive_post__api_address_add_2,添加地址-完整参数场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"": ""上海市"", ""detail"": ""浦东新区陆家嘴环路1000号恒生银行大厦12层"", ""district"": ""浦东新区"", ""is_default"": 0, ""name"": ""李四"", ""phone"": ""13912345678"", ""province"": ""上海市""}",201,添加成功,code,201,,,,
positive_post__api_address_add_3,添加地址-最小参数场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"": ""广州市"", ""detail"": ""天河区天河路385号太古汇一座28楼"", ""district"": ""天河区"", ""name"": ""王五"", ""phone"": ""13711112222"", ""province"": ""广东省""}",201,添加成功,code,201,,,,
negative_post__api_address_add_1,添加地址-缺少必填参数city,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token_123""}","{""detail"": ""科技园路1号"", ""district"": ""南山区"", ""is_default"": 0, ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""广东省""}",400,缺少,,,,,,
negative_post__api_address_add_2,添加地址-参数类型错误is_default为字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token_123""}","{""city"": ""深圳市"", ""detail"": ""科技园路1号"", ""district"": ""南山区"", ""is_default"": ""yes"", ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""广东省""}",400,类型,,,,,,
negative_post__api_address_add_3,添加地址-参数值无效phone为空字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token_123""}","{""city"": ""深圳市"", ""detail"": ""科技园路1号"", ""district"": ""南山区"", ""is_default"": 0, ""name"": ""张三"", ""phone"": """", ""province"": ""广东省""}",400,无效,,,,,,
negative_post__api_address_add_4,添加地址-无效的HTTP方法GET,1,GET,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token_123""}",{},405,方法不允许,,,,,,
negative_post__api_address_add_5,添加地址-错误的Content-Type为text/plain,1,POST,/api/address/add,"{""Content-Type"": ""text/plain""}","{""Authorization"": ""Bearer valid_token_123""}","{""city"": ""深圳市"", ""detail"": ""科技园路1号"", ""district"": ""南山区"", ""is_default"": 0, ""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""广东省""}",415,不支持的媒体类型,,,,,,
boundary_post__api_address_add_1,添加地址-边界条件及特殊字符综合测试,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiJ9.testToken""}",{},"{""city"": ""'; DROP TABLE addresses; --"", ""detail"": ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"", ""district"": ""日本語テスト"", ""is_default"": -1, ""name"": """", ""phone"": ""1"", ""province"": ""<script>alert('XSS')</script>""}",400,缺少|错误|参数,,,,,,
positive_post__api_address_delete_1,删除地址-基本正常场景,1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.test""}",{},"{""address_id"": 1}",200,删除成功,code,200,,,,
